  1575_A. Another Sorting Problem: directa ✓ | harness ✓
  1575_B. Building an Amusement Park: directa ✗ | harness ✗
  1575_C. Cyclic Sum: directa ✗ | harness ✗
  1575_D. Divisible by Twenty-Five: directa ✓ | harness ✗
  1575_E. Eye-Pleasing City Park Tour: directa ✗ | harness ✗
  1575_F. Finding Expected Value: directa ✗ | harness ✗
  1575_G. GCD Festival: directa ✗ | harness ✓
  1575_H. Holiday Wall Ornaments: directa ✗ | harness ✗
  1575_I. Illusions of the Desert: directa ✗ | harness ✗
  1575_J. Jeopardy of Dropped Balls: directa ✓ | harness ✓
  1575_K. Knitting Batik: directa ✗ | harness ✗
  1575_L. Longest Array Deconstruction: directa ✓ | harness ✗
  1575_M. Managing Telephone Poles: directa ✗ | harness ✗
  1579_A. Casimir's String Solitaire: directa ✓ | harness ✓
  1579_B. Shifting Sort: directa ✓ | harness ✓
  1579_C. Ticks: directa ✗ | harness ✗
  1579_D. Productive Meeting: directa ✓ | harness ✓
  1579_E2. Array Optimization by Deque: directa ✓ | harness ✓
  1579_F. Array Stabilization (AND version): directa ✓ | harness ✓
  1579_G. Minimal Coverage: directa ✗ | harness ✗
  1580_A. Portal: directa ✗ | harness ✗
  1580_B. Mathematics Curriculum: directa ✗ | harness ✗
  1580_C. Train Maintenance: directa ✗ | harness ✗
  1580_D. Subsequence: directa ✗ | harness ✗
  1580_E. Railway Construction: directa ✗ | harness ✗
  1580_F. Problems for Codeforces: directa ✗ | harness ✗
  1581_A. CQXYM Count Permutations: directa ✓ | harness ✓
  1581_B. Diameter of Graph: directa ✗ | harness ✓
  1582_A. Luntik and Concerts: directa ✓ | harness ✓
  1582_B. Luntik and Subsequences: directa ✓ | harness ✓
## Benchmark CodeContests (30) — familia 3 I/O
  1575_A. Another Sorting Problem: directa ✓ | harness ✓
  1575_B. Building an Amusement Park: directa ✗ | harness ✗
  1575_C. Cyclic Sum: directa ✗ | harness ✗
  1575_D. Divisible by Twenty-Five: directa ✓ | harness ✗
  1575_E. Eye-Pleasing City Park Tour: directa ✗ | harness ✗
  1575_F. Finding Expected Value: directa ✗ | harness ✗
  1575_G. GCD Festival: directa ✗ | harness ✓
  1575_H. Holiday Wall Ornaments: directa ✗ | harness ✗
  1575_I. Illusions of the Desert: directa ✗ | harness ✗
  1575_J. Jeopardy of Dropped Balls: directa ✓ | harness ✓
  1575_K. Knitting Batik: directa ✗ | harness ✗
  1575_L. Longest Array Deconstruction: directa ✓ | harness ✗
  1575_M. Managing Telephone Poles: directa ✗ | harness ✗
  1579_A. Casimir's String Solitaire: directa ✓ | harness ✓
  1579_B. Shifting Sort: directa ✓ | harness ✓
  1579_C. Ticks: directa ✗ | harness ✗
  1579_D. Productive Meeting: directa ✓ | harness ✓
  1579_E2. Array Optimization by Deque: directa ✓ | harness ✓
  1579_F. Array Stabilization (AND version): directa ✓ | harness ✓
  1579_G. Minimal Coverage: directa ✗ | harness ✗
  1580_A. Portal: directa ✗ | harness ✗
  1580_B. Mathematics Curriculum: directa ✗ | harness ✗
  1580_C. Train Maintenance: directa ✗ | harness ✗
  1580_D. Subsequence: directa ✗ | harness ✗
  1580_E. Railway Construction: directa ✗ | harness ✗
  1580_F. Problems for Codeforces: directa ✗ | harness ✗
  1581_A. CQXYM Count Permutations: directa ✓ | harness ✓
  1581_B. Diameter of Graph: directa ✗ | harness ✓
  1582_A. Luntik and Concerts: directa ✓ | harness ✓
  1582_B. Luntik and Subsequences: directa ✓ | harness ✓
Directa: 12/30 · Harness: 12/30 — CodeContests

