  BigCodeBench/0: directa ✓ | harness ✓
  BigCodeBench/1: directa ✗ | harness ✓
  BigCodeBench/2: directa ✗ | harness ✓
  BigCodeBench/3: directa ✗ | harness ✓
  BigCodeBench/4: directa ✗ | harness ✓
  BigCodeBench/5: directa ✓ | harness ✓
  BigCodeBench/6: directa ✓ | harness ✗
  BigCodeBench/7: directa ✗ | harness ✓
  BigCodeBench/8: directa ✗ | harness ✓
  BigCodeBench/10: directa ✗ | harness ✗
  BigCodeBench/11: directa ✗ | harness ✓
  BigCodeBench/12: directa ✗ | harness ✗
  BigCodeBench/15: directa ✗ | harness ✗
  BigCodeBench/16: directa ✓ | harness ✓
  BigCodeBench/18: directa ✗ | harness ✓
  BigCodeBench/22: directa ✗ | harness ✓
  BigCodeBench/23: directa ✗ | harness ✓
  BigCodeBench/30: directa ✓ | harness ✓
  BigCodeBench/33: directa ✗ | harness ✗
  BigCodeBench/48: directa ✗ | harness ✓
  BigCodeBench/49: directa ✗ | harness ✗
  BigCodeBench/55: directa ✗ | harness ✓
  BigCodeBench/60: directa ✗ | harness ✓
  BigCodeBench/61: directa ✗ | harness ✗
  BigCodeBench/63: directa ✗ | harness ✗
  BigCodeBench/65: directa ✗ | harness ✗
  BigCodeBench/67: directa ✗ | harness ✓
  BigCodeBench/69: directa ✗ | harness ✓
  BigCodeBench/84: directa ✗ | harness ✗
  BigCodeBench/85: directa ✗ | harness ✓
  BigCodeBench/86: directa ✗ | harness ✓
  BigCodeBench/87: directa ✗ | harness ✓
  BigCodeBench/88: directa ✗ | harness ✓
  BigCodeBench/90: directa ✗ | harness ✓
  BigCodeBench/95: directa ✗ | harness ✓
  BigCodeBench/96: directa ✗ | harness ✓
  BigCodeBench/97: directa ✗ | harness ✓
  BigCodeBench/98: directa ✗ | harness ✓
  BigCodeBench/100: directa ✗ | harness ✗
  BigCodeBench/103: directa ✗ | harness ✓
  BigCodeBench/104: directa ✗ | harness ✓
  BigCodeBench/109: directa ✗ | harness ✓
  BigCodeBench/110: directa ✓ | harness ✓
  BigCodeBench/112: directa ✗ | harness ✓
  BigCodeBench/113: directa ✗ | harness ✓
  BigCodeBench/116: directa ✓ | harness ✓
  BigCodeBench/117: directa ✗ | harness ✗
  BigCodeBench/118: directa ✓ | harness ✓
  BigCodeBench/119: directa ✓ | harness ✓
  BigCodeBench/121: directa ✗ | harness ✗
  BigCodeBench/122: directa ✗ | harness ✓
  BigCodeBench/123: directa ✗ | harness ✗
  BigCodeBench/124: directa ✗ | harness ✗
  BigCodeBench/125: directa ✗ | harness ✓
  BigCodeBench/126: directa ✗ | harness ✗
  BigCodeBench/128: directa ✗ | harness ✗
  BigCodeBench/134: directa ✓ | harness ✓
  BigCodeBench/138: directa ✗ | harness ✓
  BigCodeBench/139: directa ✓ | harness ✓
  BigCodeBench/141: directa ✗ | harness ✓
  BigCodeBench/142: directa ✓ | harness ✓
  BigCodeBench/143: directa ✗ | harness ✓
  BigCodeBench/149: directa ✗ | harness ✓
  BigCodeBench/150: directa ✗ | harness ✓
  BigCodeBench/152: directa ✗ | harness ✗
  BigCodeBench/155: directa ✗ | harness ✗
  BigCodeBench/161: directa ✗ | harness ✗
  BigCodeBench/162: directa ✗ | harness ✓
  BigCodeBench/163: directa ✗ | harness ✓
  BigCodeBench/164: directa ✗ | harness ✗
